Date       ,AAL Adj Close       ,AAL Volume         ,DAL Adj Close       ,DAL Volume
2023-01-03 ,12.740000           ,21865100           ,32.312237           , 8640200
2023-01-04 ,13.590000           ,34359100           ,34.075985           ,11318800
2023-01-05 ,13.990000           ,Standard Deviation ,34.908310           ,11332500
2023-01-06 ,14.180000           ,29546400           ,35.701012           ,11110400
2023-01-09 ,14.610000           ,31496900           ,36.434254           ,11251300
2023-01-10 ,15.190000           ,31109900           ,37.742199           ,10283500
2023-01-11 ,15.340000           ,28664300           ,37.831379           ,14336700
2023-01-12 ,16.830000           ,96441800           ,39.238407           ,20052100
2023-01-13 ,17.020000           ,50828000           ,37.851196           ,29120400
2023-01-17 ,17.080000           ,32875700           ,37.910645           ,17803900
2023-01-18 ,16.639999           ,42352600           ,38.029552           ,18661200
2023-01-19 ,16.280001           ,32630200           ,37.999825           ,17006100
2023-01-20 ,16.340000           ,22487700           ,38.673618           ,11998700
2023-01-23 ,16.170000           ,23408500           ,38.723164           ,12459300
2023-01-24 ,16.020000           ,21641500           ,38.445717           , 7679600
2023-01-25 ,16.260000           ,34131000           ,39.020424           ,10181800
2023-01-26 ,16.610001           ,47488900           ,38.861881           , 7618400
2023-01-27 ,16.430000           ,26257000           ,38.376354           , 7298400
2023-01-30 ,15.960000           ,23586000           ,38.049374           , 8982000
2023-01-31 ,16.139999           ,19866900           ,38.742973           , 7919200
2023-02-01 ,16.690001           ,26925300           ,39.525761           ,10781400
2023-02-02 ,17.059999           ,31552200           ,39.535671           ,10322700
2023-02-03 ,17.020000           ,22108200           ,39.218594           , 8279400
2023-02-06 ,16.920000           ,19340800           ,39.278046           , 6453800
2023-02-07 ,16.959999           ,19053400           ,39.228504           , 7994700
2023-02-08 ,16.969999           ,20774200           ,39.079872           , 8942300
2023-02-09 ,16.660000           ,17558700           ,38.653797           , 5840000
2023-02-10 ,16.280001           ,14210100           ,37.821465           , 8190200
2023-02-13 ,16.510000           ,15649900           ,38.247540           , 7842200
2023-02-14 ,16.790001           ,17467900           ,38.742973           , 7286000
2023-02-15 ,16.799999           ,12457100           ,38.663708           , 4151600
2023-02-16 ,16.389999           ,15054700           ,37.930458           , 6273300
2023-02-17 ,16.360001           ,21921300           ,38.009739           , 5961400
2023-02-21 ,15.690000           ,24449000           ,36.761238           , 7276600
2023-02-22 ,15.560000           ,22273800           ,36.672062           , 6220000
2023-02-23 ,15.870000           ,25607100           ,37.187309           , 7620100
2023-02-24 ,15.560000           ,20471800           ,37.018864           , 5482500
2023-02-27 ,15.630000           ,15494300           ,37.494480           , 7961500
2023-02-28 ,15.980000           ,15597800           ,37.989914           , 8203600
2023-03-01 ,16.030001           ,11730500           ,38.158363           , 5983200
2023-03-02 ,16.120001           ,11728300           ,38.069183           , 5295200
2023-03-03 ,16.360001           ,14389500           ,38.495255           , 7160300
2023-03-06 ,16.120001           ,13504800           ,38.108822           , 5238300
2023-03-07 ,16.360001           ,17951300           ,38.713249           ,11338800
2023-03-08 ,16.590000           ,11399600           ,39.367226           , 7836500
2023-03-09 ,15.880000           ,18505000           ,38.138550           , 9930000
2023-03-10 ,15.460000           ,27280200           ,36.909866           ,12931100
2023-03-13 ,14.850000           ,32541700           ,35.354210           ,14734000
2023-03-14 ,14.660000           ,35258900           ,35.146122           ,14902900
2023-03-15 ,13.860000           ,41843700           ,32.926571           ,18703300
2023-03-16 ,14.120000           ,24557900           ,33.402195           ,13436300
2023-03-17 ,13.980000           ,31268800           ,32.659042           ,12989700
2023-03-20 ,13.960000           ,28076200           ,32.837395           , 9241000
2023-03-21 ,14.370000           ,17788600           ,33.580547           , 8366000
2023-03-22 ,13.820000           ,21378100           ,32.470776           ,10330400
2023-03-23 ,13.630000           ,25033400           ,31.846529           ,10506900
2023-03-24 ,13.720000           ,19871300           ,31.301552           ,12647300
2023-03-27 ,13.940000           ,17126700           ,31.836622           , 7194500
2023-03-28 ,13.980000           ,11553000           ,32.173515           , 6752000
2023-03-29 ,14.350000           ,15907000           ,33.015751           , 9977900
2023-03-30 ,14.470000           ,13673500           ,33.798538           ,10614900
2023-03-31 ,14.750000           ,12348700           ,34.601143           , 9177200
2023-04-03 ,14.420000           ,14317400           ,34.075985           , 9275500
2023-04-04 ,14.160000           ,16124100           ,33.610271           , 8551700
2023-04-05 ,13.890000           ,19213300           ,33.154476           , 8679600
2023-04-06 ,14.010000           ,14067000           ,33.382374           , 6291800
2023-04-10 ,14.150000           ,18832300           ,33.659821           , 8534800
2023-04-11 ,14.320000           ,17518200           ,34.264248           , 9801200
